Enterprises & Organisations & HEIs,NSF number,Foundation date,x,y,z,Meetings,Hours,Category,Published material,Nodei,Nodee,Link,Level (z),Category,,Nodei,Nodee,Width,,Nodei,Nodee,Width
ABP Food Group,45,1969,01/10/2016,1969,2,5,5,1,1,Dwr Uisce,Glanbia,1,1,1,,88,44,1,,3,25,3
Ardcroney GWS,36,1967,01/10/2016,1967,2,1,1,1,0,Dwr Uisce,Food Technology Centre,1,1,1,,88,62,1,,3,54,1
ARUP,82,1946,01/10/2016,1946,1,5,16.5,3,0,National Trust (NT),Community Energy Wales,1,2,1,,3,54,1,,4,33,3
Ashlawn Nursing Home,66,1990,29/08/2018,1990,2,5,19,3,1,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Coolagh Caherleske GWS,1,2,4,,5,31,4,,5,22,4
Ballinabrannagh GWS,23,1964,01/12/2016,1964,2,5,30,3,1,Dwr Uisce,Dulas,1,1,3,,88,7,3,,5,23,3
Ballinguiroe Tankardstown GWS,56,1965,11/01/2018,1965,2,1,3,1,1,HC Financial Training,Ashlawn Nursing Home,1,2,3,,11,66,3,,5,24,3
Bangor University (BU),2,1884,05/01/2011,1884,1,1,1,1,1,Dwr Uisce,ARUP,1,1,3,,88,82,3,,5,29,1
Black & Veatch,33,1915,26/02/2017,1915,2,5,25,3,0,Dwr Uisce,National Trust (NT),1,1,5,,88,3,5,,5,30,3
Blackstairs GWS,22,1965,07/04/2017,1965,2,10,40,4,4,Dwr Uisce,EPS Water,1,1,4,,88,21,4,,5,31,4
BlueTech Research,75,2010,12/04/2018,2010,1,5,12,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Farran GWS,1,2,2,,5,83,2,,5,36,1
Bringitothelab,87,2017,16/08/2018,2017,1,1,12,3,0,Tipperary County Council,Nenagh Swimming Pool,1,3,3,,69,68,3,,5,37,1
Bulmers Brewery,74,1935,04/06/2018,1935,2,1,1,1,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Waterford County Council,1,2,3,,5,76,3,,5,38,3
Carlow City Council,77,1898,01/10/2016,1898,1,1,16.5,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Kilriffith Kilmore GWS,1,2,3,,5,38,3,,5,39,3
Carlow IT,13,1870,01/10/2016,1870,1,1,7,2,0,Dwr Uisce,Dublin City Council,1,1,3,,88,86,3,,5,40,3
Clayton Hotel Cardiff Lane,57,2015,01/12/2017,2015,2,1,3,1,0,Hotel Federation,Clayton Hotel Cardiff Lane,1,2,1,,89,57,1,,5,41,3
Commission for Energy Regulation,10,1999,01/10/2016,1999,1,1,12,3,0,Dwr Uisce,"Dept of Housing, Planning, Community & Local Government",1,1,3,,88,20,3,,5,56,1
Community Energy Wales,54,2012,01/10/2016,2012,2,1,1,1,0,Hotel Federation,Dalata Hotels,1,2,1,,89,55,1,,5,69,3
Coolagh Caherleske GWS,31,1965,26/09/2017,1965,2,1,30,4,1,Dwr Uisce,Kerry County Council,1,1,2,,88,14,2,,5,73,1
Cooleeney Cheese,71,1986,01/06/2018,1986,#N/A,1,13,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Tipperary County Council,1,2,3,,5,69,3,,5,74,1
Coolmore Park GWS,30,1965,01/12/2017,1965,2,1,15.5,3,1,Dwr Uisce,Irish Water,1,1,3,,88,18,3,,5,76,3
Cosyn Cyrmu,63,2016,29/07/2015,2016,1,1,1,1,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Glynn St Mullins GWS,1,2,1,,5,84,1,,5,79,3
Cully Automation,64,2001,14/03/2018,2001,1,5,20.5,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Coolmore Park GWS,1,2,3,,5,30,3,,5,80,3
Dalata Hotels,55,2007,01/05/2018,2007,2,1,1,1,1,EPS Water,PepsiCo Ireland,1,2,1,,21,59,1,,5,83,2
"Dept of Housing, Planning, Community & Local Government",20,1838,01/10/2016,1838,1,1,16.5,3,0,Dwr Uisce,ENICA Ltd,1,1,1,,88,60,1,,5,84,1
Diageo,43,1997,15/03/2018,1997,1,1,1,1,0,Dwr Uisce,Druids Glen Hotel ,1,1,3,,88,26,3,,11,66,3
Druids Glen Hotel ,26,1995,05/11/2017,1995,1,1,14,3,1,Dwr Uisce,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),1,1,3,,88,5,3,,21,59,1
Dublin City Council,86,1840,13/06/2018,1840,1,5,29,3,1,Tipperary County Council,Silvermines GAA club,1,3,1,,69,67,1,,51,45,1
Dulas,7,1982,20/08/2015,1982,1,5,12,3,0,Dwr Uisce,Commission for Energy Regulation,1,1,3,,88,10,3,,69,58,3
Dwr Cymru Welsh Water (DCWW),4,1989,05/01/2011,1989,1,10,90.5,5,1,Dwr Uisce,BlueTech Research,1,1,3,,88,75,3,,69,67,1
Dwr Uisce,88,2016,01/09/2016,2016,0,,,,,Tipperary County Council,Moyne GWS,1,3,3,,69,58,3,,69,68,3
EGNIDA,61,2011,01/10/2016,2011,1,5,1,1,0,Hotel Federation,Radisson Blu Hotels,1,2,1,,89,48,1,,69,71,3
EIP on Water ,16,2012,15/03/2017,2012,1,1,5,1,0,Dwr Uisce,Cully Automation,1,1,3,,88,64,3,,88,1,1
Elentec,35,2012,01/03/2018,2012,1,1,19,3,0,Dwr Uisce,RPS Group,1,1,1,,88,9,1,,88,2,1
Energy Elephant ,19,2014,08/08/2017,2014,1,1,12,3,2,Dwr Uisce,Energy Saving Trust,1,1,3,,88,32,3,,88,3,5
Energy Saving Trust,32,1992,20/08/2015,1992,1,1,12,3,0,Dwr Uisce,Halewood Brewery,1,1,3,,88,28,3,,88,4,5
ENICA Ltd,60,2010,01/10/2017,2010,1,1,1,1,0,Hotel Federation,Maldron Hotels,1,2,1,,89,47,1,,88,5,3
Enterprise Ireland,51,1998,01/10/2016,1998,1,1,1,1,0,Dwr Uisce,Water Loss Research & Analysis Ltd,1,1,3,,88,46,3,,88,6,0.5
EPS Water,21,1969,13/04/2017,1969,1,10,37,4,1,Dwr Uisce,Enterprise Ireland,1,1,1,,88,51,1,,88,7,3
Farran GWS,83,1970,05/06/2018,1970,2,1,6,2,0,Dwr Cymru Welsh Water (DCWW),Black & Veatch,1,2,3,,4,33,3,,88,8,3
Food Technology Centre,62,1999,26/01/2018,1999,1,1,1,1,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Kings Mill Kilkenny,1,2,1,,5,73,1,,88,9,1
Glanbia,44,1997,30/03/2018,1997,#N/A,1,1,1,0,Dwr Uisce,RDS,1,1,1,,88,27,1,,88,10,3
Gleneagle Hotels,49,1957,03/04/2018,1957,2,1,1,1,0,Dwr Uisce,IMR,1,1,0.5,,88,50,0.5,,88,11,1
Glynn St Mullins GWS,84,1966,06/06/2018,1966,2,1,3,1,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Ardcroney GWS,1,2,1,,5,36,1,,88,12,2
Gwynedd Council,42,1974,27/10/2017,1974,1,1,1,1,0,Dwr Uisce,VEOLIA Environmental Services Technical Solutions Limited,1,1,2,,88,12,2,,88,13,2
Halewood brewery,28,1978,30/01/2018,1978,1,1,12,3,0,Dwr Uisce,Higher Education Authority,1,1,1,,88,15,1,,88,14,2
HC Financial Training,11,1988,27/08/2017,1988,1,1,1,1,0,Dwr Uisce,Diageo,1,1,1,,88,43,1,,88,15,1
Heath GWS,29,1964,15/09/2017,1964,2,1,0,1,0,Dwr Uisce,Hotel Federation,1,1,1,,88,89,1,,88,16,1
Higher Education Authority,15,1971,01/10/2016,1971,1,1,1,1,0,Dwr Uisce,EGNIDA,1,1,1,,88,61,1,,88,17,1
Hotel Federation,89,1937,13/10/2017,1937,1,1,0,1,0,,,,,,,,,,,88,18,3
IMR,50,,01/10/2016,,1,,,0.5,,Dwr Uisce,Dwr Cymru Welsh Water (DCWW),1,1,5,,88,4,5,,88,19,3
Irish Water,18,2013,07/04/2017,2013,1,5,20,3,0,Dwr Uisce,Energy Elephant ,1,1,3,,88,19,3,,88,20,3
Kerry County Council,14,1898,20/02/2017,1898,1,1,7,2,0,Dwr Uisce,Elentec,1,1,3,,88,35,3,,88,21,4
Kilanerin GWS,24,1962,24/07/2017,1962,2,1,30,3,1,Dwr Uisce,Carlow IT,1,1,2,,88,13,2,,88,26,3
Kilcredan GWS,39,1962,16/11/2017,1962,2,1,25,3,1,Dwr Uisce,Southern Regional Assembly (funders),1,1,1,,88,17,1,,88,27,1
Kilkenny City Council,81,1899,04/06/2018,1899,1,1,16.5,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Patrickswell GWS,1,2,1,,5,37,1,,88,28,3
Killally Ballinrush GWS,40,1959,28/11/2017,1959,2,1,17,3,1,Dwr Uisce,The K Club,1,1,1,,88,70,1,,88,32,3
Kilriffith Kilmore GWS,38,1962,06/03/2018,1962,2,1,21,3,1,Dwr Uisce,EIP on Water ,1,1,1,,88,16,1,,88,34,1
Kings Mill Kilkenny,73,1991,03/06/2018,1991,2,1,1,1,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Blackstairs GWS,1,2,4,,5,22,4,,88,35,3
Maldron Hotels,47,2007,01/04/2018,2007,2,1,1,1,1,Dwr Uisce,Waterways Ireland,-1,1,2,,88,65,2,,88,42,1
Moyne GWS,58,1970,01/04/2018,1970,3,1,16,3,1,Hotel Federation,Talbot Hotel Stillorgan,1,2,3,,89,52,3,,88,43,1
Narraghmore GWS,80,1974,03/06/2018,1974,2,1,16.5,3,1,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Ballinabrannagh GWS,1,2,3,,5,23,3,,88,44,1
National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),5,1997,08/03/2017,1997,1,10,27.5,3,3,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Narraghmore GWS,1,2,3,,5,80,3,,88,46,3
National Research Network for low Carbon,6,2011,01/10/2016,2011,1,,,0.5,,Dwr Uisce,National Research Network for low Carbon,1,1,0.5,,88,6,0.5,,88,47,1
National Trust (NT),3,1895,16/02/2017,1895,1,10,66,5,2,Dwr Uisce,Carlow City Council,1,1,3,,88,77,3,,88,48,1
Nenagh Swimming Pool,68,1950,01/04/2018,1950,3,5,20,3,1,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Bulmers Brewery,1,2,1,,5,74,1,,88,49,1
Ogwen Hydro,25,2015,01/06/2017,2015,2,1,15,3,1,Dwr Uisce,Gwynedd Council,1,1,1,,88,42,1,,88,50,0.5
Patrickswell GWS,37,1965,10/01/2018,1965,2,1,3,1,0,Dwr Uisce,Roscrea Cistercian College,1,1,0.5,,88,72,0.5,,88,51,1
PepsiCo Ireland,59,1898,01/01/2018,1898,2,1,4,1,1,Hotel Federation,Gleneagle Hotels,1,2,1,,89,49,1,,88,52,3
Radisson Blu Hotels,48,1960,02/04/2018,1960,2,1,1,1,0,Dwr Uisce,WATEF Network,1,1,3,,88,53,3,,88,53,3
RDS,27,1731,10/01/2018,1731,1,1,1,1,0,Dwr Uisce,HC Financial Training,1,1,1,,88,11,1,,88,55,1
Roscrea Cistercian College,72,1905,02/06/2018,1905,1,0,0,0.5,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Wicklow City Council,1,2,3,,5,79,3,,88,57,1
RPS Group,9,1970,22/03/2017,1970,1,1,1,1,0,Dwr Uisce,Waterwise,1,1,3,,88,8,3,,88,60,1
Silvermines GAA club,67,1884,01/06/2018,1884,3,1,2,1,1,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Kilanerin GWS,1,2,3,,5,24,3,,88,61,1
Snodonia Hydro,34,2011,01/10/2016,2011,1,1,0,1,0,Dwr Uisce,Bangor University (BU),1,1,1,,88,2,1,,88,62,1
Southern Regional Assembly (funders),17,1999,01/10/2016,1999,1,1,1,1,0,Dwr Uisce,Ymgynghoriaeth Gwynedd Consultancy,1,1,3,,88,85,3,,88,63,1
Talbot Hotel Stillorgan,52,1994,30/01/2018,1994,2,1,12,3,1,Dwr Uisce,Cosyn Cyrmu,1,1,1,,88,63,1,,88,64,3
The K Club,70,1989,01/06/2018,1989,1,1,0,1,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Kilcredan GWS,1,2,3,,5,39,3,,88,65,2
Tipperary County Council,69,2014,24/04/2018,2014,2,1,16.5,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Heath GWS,1,2,1,,5,29,1,,88,70,1
Trinity College Dublin (TCD),1,1592,05/01/2011,1592,1,1,1,1,1,Dwr Uisce,Bringitothelab,1,1,3,,88,87,3,,88,72,0.5
VEOLIA Environmental Services Technical Solutions Limited,12,1853,01/01/2018,1853,1,1,7,2,0,Dwr Uisce,Kilkenny City Council,1,1,3,,88,81,3,,88,75,3
Walterstown GWS,41,1960,28/11/2017,1960,2,1,13,3,1,Dwr Uisce,Trinity College Dublin (TCD),1,1,1,,88,1,1,,88,77,3
WATEF Network,53,2011,23/11/2017,2011,1,5,12,3,0,Enterprise Ireland,ABP Food Group,1,2,1,,51,45,1,,88,78,3
Water Loss Research & Analysis Ltd,46,2010,27/10/2017,2010,1,1,12,3,0,Dwr Uisce,Wexford County Council,1,1,3,,88,78,3,,89,81,3
Waterford County Council,76,2014,01/06/2018,2014,2,1,16.5,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Killally Ballinrush GWS,1,2,3,,5,40,3,,89,82,3
Waterways Ireland,65,1999,01/05/2018,1999,1,4,4,2,0,National Trust (NT),Ogwen Hydro,1,2,3,,3,25,3,,89,85,3
Waterwise,8,2005,30/03/2017,2005,1,5,19,3,0,Dwr Uisce,Snodonia Hydro,1,1,1,,88,34,1,,89,86,3
Wexford County Council,78,1898,01/06/2018,1898,1,1,16.5,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Ballinguiroe Tankardstown GWS,1,2,1,,5,56,1,,89,87,3
Wicklow City Council,79,1899,02/06/2018,1899,2,1,16.5,3,0,National Federation of Group Water Schemes (National Federation of Group Water Schemes (NFGWS)),Walterstown GWS,1,2,3,,5,41,3,,89,89,1
Ymgynghoriaeth Gwynedd Consultancy,85,2007,01/06/2018,2007,1,5,12,3,0,Tipperary County Council,Cooleeney Cheese,1,3,3,,69,71,3,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,They are represented in the SNA graph however the values are considered from Dwr Uisce.,,,,,,,,,,,,,,,